title,genres,product rating,user score,user ratings count,platform,metascore,metascore_count,img,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release date,last_update
Cloudy With a Chance of Meatballs,Action Adventure,Rated E For Everyone,6.6,10.0,PS3,66,9,/games/boxart/full_7846553AmericaFrontccc.jpg,Ubisoft,Ubisoft Shanghai,6.7,0.1,0.09,,0.01,0.01,2009-09-15,
Cloudy With a Chance of Meatballs,Action Adventure,Rated E For Everyone,6.6,10.0,X360,62,12,/games/boxart/full_1502686AmericaFrontccc.jpg,Ubisoft,Ubisoft Shanghai,6.7,0.09,0.07,,0.0,0.01,2009-09-15,
Cloudy With a Chance of Meatballs,Action Adventure,Rated E For Everyone,6.6,10.0,PC,tbd,2,/games/boxart/full_1340031AmericaFrontccc.jpg,Ubisoft,Ubisoft Shanghai,,,,,,,2009-09-15,
FIFA 21,Soccer Sim,Rated E For Everyone,1.0,2180.0,XOne,77,19,/games/boxart/full_6889040AmericaFrontccc.jpg,Electronic Arts,EA Vancouver,,,,,,,2020-10-09,2020-06-19
FIFA 21,Soccer Sim,Rated E For Everyone,1.0,2180.0,PS4,72,64,/games/boxart/full_8015698AmericaFrontccc.jpg,Electronic Arts,EA Vancouver,,,,,,,2020-10-09,2020-06-19
FIFA 21,Soccer Sim,Rated E For Everyone,1.0,2180.0,PC,74,8,/games/boxart/full_2136464PALFrontccc.jpg,Electronic Arts,EA Vancouver,,,,,,,2020-10-09,2020-06-19
FIFA 21,Soccer Sim,Rated E For Everyone,1.0,2180.0,PS5,74,17,/games/boxart/full_7564441AmericaFrontccc.jpg,Electronic Arts,EA Vancouver,,,,,,,2020-12-31,2020-06-19
FIFA 21,Soccer Sim,Rated E For Everyone,1.0,2180.0,NS,33,5,/games/boxart/full_4739211AmericaFrontccc.jpg,Electronic Arts,EA Vancouver,,,,,,,2020-10-09,2020-06-19
Langrisser I & II,Compilation,Rated T For Teen,7.3,24.0,NS,76,15,/games/boxart/full_218796JapanFrontccc.jpg,Kadokawa Games,Kadokawa Games,,,,,,,2019-04-18,2019-03-22
Langrisser I & II,Compilation,Rated T For Teen,7.3,24.0,PS4,67,6,/games/boxart/full_5334832JapanFrontccc.jpg,Kadokawa Games,Kadokawa Games,,,,,,,2019-04-18,2019-03-22
Rugby World Cup 2011,Rugby,Rated E For Everyone,3.9,13.0,PS3,50,12,/games/boxart/full_rugby-world-cup-2011_453PALFront.jpg,505 Games,HB Studios Multimedia,4.5,0.32,,,0.25,0.07,2011-08-26,
Rugby World Cup 2011,Rugby,Rated E For Everyone,3.9,13.0,X360,55,14,/games/boxart/full_rugby-world-cup-2011_200PALFront.jpg,505 Games,HB Studios Multimedia,4.8,0.28,0.03,,0.21,0.04,2011-09-06,
Need for Speed III: Hot Pursuit,Auto Racing,Rated E For Everyone,8.5,11.0,PS,88,13,/games/boxart/4212814ccc.jpg,Electronic Arts,EA Canada,,3.12,2.14,,0.86,0.13,1998-03-25,
Bladestorm: The Hundred Years' War,3D Beat-'Em-Up,Rated T For Teen,6.2,13.0,PS3,58,23,/games/boxart/full_8500562AmericaFrontccc.jpg,KOEI,Omega Force,5.8,0.28,0.1,0.14,0.03,0.02,2007-11-06,
Bladestorm: The Hundred Years' War,3D Beat-'Em-Up,Rated T For Teen,6.2,13.0,X360,63,26,/games/boxart/3498964ccc.jpg,KOEI,Omega Force,6.9,0.09,0.08,,0.01,0.01,2007-11-06,
Attack of the Movies 3D,Light Gun,Rated T For Teen,1.9,8.0,X360,38,8,/games/boxart/full_5219897AmericaFrontccc.jpg,Majesco,Panic Button Games Inc.,,0.04,0.04,,,0.0,2010-05-18,
Attack of the Movies 3D,Light Gun,Rated T For Teen,1.9,8.0,Wii,39,6,/games/boxart/full_6982550AmericaFrontccc.jpg,Majesco,Panic Button Games Inc.,,0.1,0.09,,,0.01,2010-05-18,
SD Gundam Force: Showdown!,Third Person Shooter,Rated E For Everyone,2.5,,PS2,58,7,/games/boxart/full_3140756AmericaFrontccc.jpg,Bandai,Tom Create,,0.04,0.02,,0.01,0.0,2004-10-11,
Disgaea 4: A Promise Unforgotten,Turn-Based Tactics,Rated T For Teen,8.2,122.0,PSV,82,32,/games/boxart/full_3473862AmericaFrontccc.jpg,NIS America,Unknown,,0.16,0.03,0.08,0.03,0.02,2020-12-31,
Disgaea 4: A Promise Unforgotten,Turn-Based Tactics,Rated T For Teen,8.2,122.0,PS3,80,39,/games/boxart/full_disgaea-4-a-promise-unforgotten_709AmericaFront.jpg,NIS America,Nippon Ichi Software,7.9,0.58,0.27,0.14,0.11,0.06,2011-09-06,
Wakeboarding Unleashed Featuring Shaun Murray,Surfing,Rated E For Everyone,,,PS2,83,23,/games/boxart/full_1845655AmericaFrontccc.jpg,Activision,Shaba Games,,0.16,0.08,,0.06,0.02,2003-06-10,
Wakeboarding Unleashed Featuring Shaun Murray,Surfing,Rated E For Everyone,,,XB,80,23,/games/boxart/full_4744555AmericaFrontccc.jpg,Activision,Shaba Games,,0.05,0.04,,0.01,0.0,2003-06-10,
Wakeboarding Unleashed Featuring Shaun Murray,Surfing,Rated E For Everyone,,,GBA,67,7,/games/boxart/full_8256673AmericaFrontccc.jpg,Aspyr,Small Rockets,,0.02,0.01,,0.01,0.0,2003-11-10,
Wakeboarding Unleashed Featuring Shaun Murray,Surfing,Rated E For Everyone,,,PC,tbd,1,/games/boxart/full_3078682AmericaFrontccc.jpg,Aspyr,Beenox,,,,,,,2002-12-22,
The Technomancer,Western RPG,Rated M For Mature,6.8,163.0,PC,56,34,/games/boxart/full_3381722AmericaFrontccc.jpg,Focus Home Interactive,Spiders,,,,,,,2016-06-28,2018-06-27
The Technomancer,Western RPG,Rated M For Mature,6.8,163.0,PS4,60,38,/games/boxart/full_1948794AmericaFrontccc.jpg,Focus Home Interactive,Spiders,,0.09,0.04,,0.04,0.02,2016-06-28,2018-06-27
The Technomancer,Western RPG,Rated M For Mature,6.8,163.0,XOne,68,12,/games/boxart/full_521792AmericaFrontccc.jpg,Focus Home Interactive,Spiders,,0.05,0.03,,0.02,0.0,2016-06-28,2018-06-27
SnoCross Championship Racing,Arcade Racing,Rated E For Everyone,,,PS,66,8,/games/boxart/full_5025527AmericaFrontccc.jpg,Crave Entertainment,UDS,,0.93,0.52,,0.35,0.06,2000-08-22,
Midway Arcade Treasures 2,Compilation,Rated M For Mature,6.6,5.0,PS2,74,28,/games/boxart/full_1406409AmericaFrontccc.jpg,Midway Games,Backbone Entertainment,,0.68,0.33,,0.26,0.09,2004-10-11,
Midway Arcade Treasures 2,Compilation,Rated M For Mature,6.6,5.0,XB,74,38,/games/boxart/full_7850885AmericaFrontccc.jpg,Midway Games,Backbone Entertainment,,0.31,0.24,,0.05,0.01,2004-10-11,
Midway Arcade Treasures 2,Compilation,Rated M For Mature,6.6,5.0,GC,74,21,/games/boxart/full_1120916AmericaFrontccc.jpg,Midway Games,Backbone Entertainment,7.2,0.16,0.13,,0.03,0.0,2004-10-11,
Tetris 99,Stacking Puzzle,Rated E For Everyone,8.1,321.0,NS,83,31,/games/boxart/full_511470AmericaFrontccc.png,Nintendo,Arika,,,,,,,2019-02-13,2019-02-14
Kalimba,Action Puzzle,Rated E For Everyone,7.4,35.0,XOne,81,26,/games/boxart/full_4096028AmericaFrontccc.jpeg,Microsoft Studios,Press Play,,,,,,,2014-12-17,2018-08-09
Kalimba,Action Puzzle,Rated E For Everyone,7.4,35.0,PC,81,4,/games/boxart/full_8634993AmericaFrontccc.jpg,Microsoft Studios,Press Play,,,,,,,2015-04-22,
Iron Man 2,Action Adventure,Rated T For Teen,3.8,24.0,PS3,41,28,/games/boxart/full_8931241AmericaFrontccc.png,Sega,"Sega Studios, San Francisco",,0.39,0.14,,0.19,0.07,2010-05-04,
Iron Man 2,Action Adventure,Rated T For Teen,3.8,24.0,X360,41,35,/games/boxart/full_3122480AmericaFrontccc.jpg,Sega,"Sega Studios, San Francisco",5.1,0.27,0.15,,0.1,0.03,2010-05-04,
Iron Man 2,Action Adventure,Rated T For Teen,3.8,24.0,Wii,41,11,/games/boxart/full_8375080AmericaFrontccc.jpg,Sega,"Sega Studios, San Francisco",,0.33,0.15,,0.15,0.03,2010-05-04,
Iron Man 2,Action Adventure,Rated T For Teen,3.8,24.0,DS,54,7,/games/boxart/full_6223818AmericaFrontccc.jpg,Sega,"Sega Studios, San Francisco",,0.34,0.14,,0.16,0.03,2010-05-04,
Iron Man 2,Action Adventure,Rated T For Teen,3.8,24.0,PSP,49,8,/games/boxart/full_1807156AmericaFrontccc.png,Sega,"Sega Studios, San Francisco",,0.38,0.18,,0.13,0.08,2010-05-04,
NBA 2K11,Basketball Sim,Rated E For Everyone,8.3,117.0,Wii,tbd,3,/games/boxart/full_nba-2k11_7AmericaFront.jpg,2K Sports,Visual Concepts,,0.51,0.47,,0.01,0.03,2010-10-05,
NBA 2K11,Basketball Sim,Rated E For Everyone,8.3,117.0,PC,82,6,/games/boxart/full_nba-2k11_3AmericaFront.jpg,2K Sports,Visual Concepts,,0.19,0.18,,,0.01,2010-10-05,
NBA 2K11,Basketball Sim,Rated E For Everyone,8.3,117.0,PSP,tbd,1,/games/boxart/full_nba-2k11_2AmericaFront.jpg,2K Sports,Visual Concepts,,0.42,0.39,,,0.03,2010-10-05,
NBA 2K11,Basketball Sim,Rated E For Everyone,8.3,117.0,PS3,89,46,/games/boxart/full_nba-2k11_6AmericaFront.jpg,2K Sports,Visual Concepts,,1.81,1.41,0.03,0.21,0.16,2010-10-05,
NBA 2K11,Basketball Sim,Rated E For Everyone,8.3,117.0,X360,89,50,/games/boxart/full_nba-2k11_5AmericaFront.jpg,2K Sports,Visual Concepts,8.8,2.11,1.86,0.01,0.12,0.13,2010-10-05,
Dragon Age: Origins,Western RPG,Rated M For Mature,8.4,715.0,PC,91,67,/games/boxart/full_5223684AmericaFrontccc.jpg,Electronic Arts,BioWare Corp.,9.1,0.5,,,0.46,0.04,2009-11-03,
Dragon Age: Origins,Western RPG,Rated M For Mature,8.4,715.0,PS3,87,41,/games/boxart/full_3173221AmericaFrontccc.jpg,Electronic Arts,BioWare Edmonton,8.7,1.67,0.96,0.08,0.42,0.21,2009-11-03,
Dragon Age: Origins,Western RPG,Rated M For Mature,8.4,715.0,X360,86,68,/games/boxart/full_9613529AmericaFrontccc.jpg,Electronic Arts,BioWare Edmonton,8.5,2.56,1.76,0.03,0.55,0.22,2009-11-03,
Top Gun (2010),Aircraft Combat Sim,Rated T For Teen,4.3,6.0,PC,tbd,1,/games/boxart/default.jpg,Unknown,Doublesix,,,,,,,8/17/2010,
Ori and the Blind Forest: Definitive Edition,Metroidvania,Rated E For Everyone,8.2,500.0,XOne,88,24,/games/boxart/full_9732861AmericaFrontccc.png,Microsoft Studios,Moon Studios,,,,,,,2016-03-11,2020-08-04
Ori and the Blind Forest: Definitive Edition,Metroidvania,Rated E For Everyone,8.2,500.0,PC,88,10,/games/boxart/full_5819763AmericaFrontccc.jpg,Nordic Games,Moon Studios,,,,,,,2016-06-14,2018-08-12
Ori and the Blind Forest: Definitive Edition,Metroidvania,Rated E For Everyone,8.2,500.0,NS,90,20,/games/boxart/full_6211056AmericaFrontccc.jpg,Xbox Game Studios,Moon Studios,,,,,,,2019-09-27,2019-09-09
Disney's Lilo & Stitch,3D Platformer,Rated E For Everyone,6.6,14.0,PS,54,7,/games/boxart/full_7717227AmericaFrontccc.jpg,Sony Computer Entertainment,Blitz Games,,,,,,,2002-06-14,
Open Season,3D Platformer,Rated E +10 For Everyone +10,6.4,9.0,Wii,49,5,/games/boxart/4172151ccc.jpg,Ubisoft,Ubisoft Montreal,5.0,0.07,0.06,,0.0,0.01,2006-11-30,
Open Season,3D Platformer,Rated E +10 For Everyone +10,6.4,9.0,XB,59,6,/games/boxart/full_4504623AmericaFrontccc.jpg,Ubisoft,Ubisoft Montreal,6.4,0.0,0.0,,0.0,0.0,2006-09-19,
Open Season,3D Platformer,Rated E +10 For Everyone +10,6.4,9.0,X360,59,15,/games/boxart/full_6881523AmericaFrontccc.jpg,Ubisoft,Ubisoft Montreal,5.7,0.11,0.1,,0.0,0.01,2006-09-19,
Open Season,3D Platformer,Rated E +10 For Everyone +10,6.4,9.0,PC,58,4,/games/boxart/full_3536875AmericaFrontccc.jpg,Ubisoft,Ubisoft Montreal,6.4,0.0,,,0.0,0.0,2006-09-19,
Open Season,3D Platformer,Rated E +10 For Everyone +10,6.4,9.0,DS,72,4,/games/boxart/full_8166232AmericaFrontccc.jpg,Ubisoft,Ubisoft Montreal,7.4,0.13,0.12,,0.0,0.01,2006-09-19,
Open Season,3D Platformer,Rated E +10 For Everyone +10,6.4,9.0,GC,59,6,/games/boxart/full_5999165AmericaFrontccc.jpg,Ubisoft,Ubisoft Montreal,6.4,0.17,0.13,,0.03,0.0,2006-09-19,
Open Season,3D Platformer,Rated E +10 For Everyone +10,6.4,9.0,PSP,tbd,3,/games/boxart/full_1990496AmericaFrontccc.jpg,Ubisoft,Ubisoft Montreal,6.7,0.07,0.07,,0.0,0.01,2006-09-19,
Open Season,3D Platformer,Rated E +10 For Everyone +10,6.4,9.0,PS2,57,6,/games/boxart/full_8106054AmericaFrontccc.jpg,Ubisoft,Ubisoft Montreal,6.4,0.03,0.01,,0.01,0.0,2006-09-19,
The Outer Worlds,Western RPG,Rated M For Mature,7.9,1561.0,PS4,85,82,/games/boxart/full_5709234AmericaFrontccc.png,Private Division,Obsidian Entertainment,,,,,,,2019-10-25,2019-06-06
The Outer Worlds,Western RPG,Rated M For Mature,7.9,1561.0,PC,82,34,/games/boxart/full_2898429AmericaFrontccc.png,Private Division,Obsidian Entertainment,,,,,,,2019-10-25,2019-06-06
The Outer Worlds,Western RPG,Rated M For Mature,7.9,1561.0,XOne,85,27,/games/boxart/full_47249AmericaFrontccc.png,Private Division,Obsidian Entertainment,,,,,,,2019-10-25,2019-06-06
The Outer Worlds,Western RPG,Rated M For Mature,7.9,1561.0,NS,66,52,/games/boxart/full_5396474AmericaFrontccc.png,Private Division,Virtuos,,,,,,,2020-06-05,2019-07-30
The Last Spell,Turn-Based Tactics,Rated T For Teen,8.1,22.0,NS,tbd,3,/games/boxart/full_5772802AmericaFrontccc.jpg,CCCP,CCCP,,,,,,,2020-12-01,2019-08-10
The Last Spell,Turn-Based Tactics,Rated T For Teen,8.1,22.0,PC,82,10,/games/boxart/full_7199721AmericaFrontccc.jpg,CCCP,CCCP,,,,,,,2020-12-01,2019-08-10
Beaterator,Application,Rated E For Everyone,7.9,8.0,PSP,80,44,/games/boxart/full_6048242AmericaFrontccc.jpg,Rockstar Games,Rockstar Leeds,7.9,0.11,0.07,,0.02,0.02,2009-10-01,
NCAA Football 14,Football Sim,Rated E For Everyone,6.1,87.0,PS3,77,9,/games/boxart/full_1302170AmericaFrontccc.jpg,EA Sports,EA Tiburon,7.7,0.92,0.75,,,0.17,2013-07-09,2018-01-31
NCAA Football 14,Football Sim,Rated E For Everyone,6.1,87.0,X360,77,18,/games/boxart/full_4051650AmericaFrontccc.jpg,EA Sports,EA Tiburon,7.6,1.13,1.01,,,0.12,2013-07-09,2018-01-31
Spyro: Shadow Legacy,Action Adventure,Rated E For Everyone,5.1,19.0,DS,50,18,/games/boxart/full_4412815AmericaFrontccc.jpg,Vivendi Games,Amaze Entertainment,,0.16,0.14,,0.01,0.01,2005-10-18,
Vampire Moon: The Mystery of the Hidden Sun,Hidden Object,Rated E For Everyone,,,DS,50,8,/games/boxart/full_vampire-moon-the-mystery-of-the-hidden-sun_8AmericaFront.jpg,City Interactive,City Interactive,,0.13,0.12,,0.01,0.01,2010-10-05,
Driveclub,Auto Racing Sim,Rated E For Everyone,6.4,1808.0,PS4,71,85,/games/boxart/full_8788232AmericaFrontccc.jpg,Sony Computer Entertainment,Evolution Studios,7.2,,,,,,2014-10-07,2018-09-25
The Elder Scrolls Online: High Isle,MMORPG,,6.6,12.0,PC,79,17,/games/boxart/full_8486418AmericaFrontccc.jpg,Unknown,ZeniMax Online Studios,,,,,,,6/6/2022,2022-09-19
The Elder Scrolls Online: High Isle,MMORPG,,6.6,12.0,XOne,tbd,1,/games/boxart/full_7399038AmericaFrontccc.jpg,Unknown,ZeniMax Online Studios,,,,,,,6/6/2022,2022-09-19
The Elder Scrolls Online: High Isle,MMORPG,,6.6,12.0,PS4,tbd,1,/games/boxart/full_9221205AmericaFrontccc.jpg,Unknown,ZeniMax Online Studios,,,,,,,6/6/2022,2022-09-19
The Elder Scrolls Online: High Isle,MMORPG,,6.6,12.0,PS5,78,4,/games/boxart/full_9194174AmericaFrontccc.jpg,Unknown,ZeniMax Online Studios,,,,,,,6/6/2022,2022-09-19
Tokyo Jungle,Survival,Rated T For Teen,8.0,113.0,PS3,74,60,/games/boxart/full_8709652JapanFrontccc.jpg,Sony Computer Entertainment,PlayStation C.A.M.P.!,,0.26,,0.26,,,2020-12-31,2018-05-25
Miitopia,RPG,Rated E For Everyone,8.2,110.0,3DS,67,52,/games/boxart/full_553338AmericaFrontccc.jpg,Nintendo,Nintendo EPD,6.6,,,,,,2017-07-28,2018-11-18
Miitopia,RPG,Rated E For Everyone,8.2,110.0,NS,71,61,/games/boxart/full_3752594AmericaFrontccc.jpg,Nintendo,Nintendo,,,,,,,2021-05-21,2021-02-18
Big Brain Academy: Wii Degree,Edutainment,Rated E For Everyone,7.2,16.0,Wii,68,33,/games/boxart/full_6559570AmericaFrontccc.jpg,Nintendo,Nintendo EAD,7.1,,,,,,2007-06-11,
Transformers: The Game,Action Adventure,Rated T For Teen,5.4,25.0,PC,55,13,/games/boxart/full_4844318AmericaFrontccc.jpg,Activision,Traveller's Tales,,,,,,,2007-06-26,
Transformers: The Game,Action Adventure,Rated T For Teen,5.4,25.0,PSP,47,18,/games/boxart/2939718ccc.jpg,Activision,Savage Entertainment,4.3,0.65,0.23,,0.27,0.16,2007-06-19,
Transformers: The Game,Action Adventure,Rated T For Teen,5.4,25.0,PSP,47,18,/games/boxart/3101328ccc.jpg,Unknown,Unknown,,,,,,,6/26/2007,
Transformers: The Game,Action Adventure,Rated T For Teen,5.4,25.0,PS2,56,8,/games/boxart/full_2206174AmericaFrontccc.jpg,Activision,Traveller's Tales,,1.11,0.63,0.0,0.37,0.11,2007-06-26,
Transformers: The Game,Action Adventure,Rated T For Teen,5.4,25.0,PS2,56,8,/games/boxart/3127735ccc.jpg,Unknown,Unknown,,,,,,,6/26/2007,
Transformers: The Game,Action Adventure,Rated T For Teen,5.4,25.0,PS3,54,30,/games/boxart/1839209ccc.jpg,Activision,Traveller's Tales,,0.4,0.32,0.01,0.03,0.04,2007-06-26,
Transformers: The Game,Action Adventure,Rated T For Teen,5.4,25.0,PS3,54,30,/games/boxart/678684ccc.jpg,Unknown,Unknown,,,,,,,6/26/2007,
Transformers: The Game,Action Adventure,Rated T For Teen,5.4,25.0,X360,52,50,/games/boxart/6835355ccc.jpg,Activision,Traveller's Tales,5.2,0.6,0.51,,0.04,0.05,2007-06-26,
Transformers: The Game,Action Adventure,Rated T For Teen,5.4,25.0,Wii,53,28,/games/boxart/7100627ccc.jpg,Activision,Traveller's Tales,,0.58,0.5,,0.03,0.05,2007-06-26,
Spider-Man: Edge of Time,3D Beat-'Em-Up,Rated T For Teen,7.3,58.0,X360,57,50,/games/boxart/full_spider-man-edge-of-time_742AmericaFront.jpg,Activision,Beenox,5.8,0.25,0.18,,0.05,0.02,2011-10-04,
Spider-Man: Edge of Time,3D Beat-'Em-Up,Rated T For Teen,7.3,58.0,Wii,62,9,/games/boxart/full_spider-man-edge-of-time_861AmericaFront.jpg,Activision,Beenox,,0.09,0.06,,0.02,0.01,2011-10-04,
Spider-Man: Edge of Time,3D Beat-'Em-Up,Rated T For Teen,7.3,58.0,PS3,58,43,/games/boxart/full_1292632AmericaFrontccc.jpg,Activision,Beenox,,0.23,0.13,,0.07,0.03,2011-10-04,
Spider-Man: Edge of Time,3D Beat-'Em-Up,Rated T For Teen,7.3,58.0,3DS,50,7,/games/boxart/full_spider-man-edge-of-time_795AmericaFront.jpg,Activision,Beenox,5.5,0.12,0.08,,0.03,0.01,2011-10-04,
NHL 08,Hockey Sim,Rated E +10 For Everyone +10,6.7,6.0,PS2,70,6,/games/boxart/3948465ccc.jpg,Electronic Arts,Electronic Arts,,,,,,,2007-09-11,
NHL 08,Hockey Sim,Rated E +10 For Everyone +10,6.7,6.0,PS3,86,23,/games/boxart/6126976ccc.jpg,Electronic Arts,EA Canada,,0.25,0.16,,0.06,0.03,2007-09-11,2018-02-03
NHL 08,Hockey Sim,Rated E +10 For Everyone +10,6.7,6.0,PC,65,8,/games/boxart/2904181ccc.jpg,Electronic Arts,Electronic Arts,,0.01,,,0.01,0.0,2007-09-11,
NHL 08,Hockey Sim,Rated E +10 For Everyone +10,6.7,6.0,X360,85,44,/games/boxart/8588235ccc.jpg,Electronic Arts,Unknown,,0.25,0.22,,0.01,0.02,2007-09-12,
Steel Battalion: Line of Contact,Vehicle Combat Sim,Rated T For Teen,,,XB,70,19,/games/boxart/full_5360803AmericaFrontccc.jpg,Capcom,"Capcom Production Studio 4 / Nude Maker Co., Ltd.",,0.02,0.02,,0.01,0.0,2004-02-27,
Ground Control: Dark Conspiracy,Real-Time Strategy,Rated T For Teen,6.7,6.0,PC,77,7,/games/boxart/full_9329564AmericaFrontccc.jpg,Sierra Entertainment,Massive Entertainment,,,,,,,2000-12-14,
"Warhammer 40,000: Battlesector",Turn-Based Tactics,,7.6,34.0,PC,72,25,/games/boxart/default.jpg,Unknown,Black Lab Games,,,,,,,7/15/2021,2024-01-20
"Warhammer 40,000: Battlesector",Turn-Based Tactics,,7.6,34.0,PS4,tbd,3,/games/boxart/default.jpg,Unknown,Black Lab Games,,,,,,,7/15/2021,2024-01-20
"Warhammer 40,000: Battlesector",Turn-Based Tactics,,7.6,34.0,XOne,tbd,1,/games/boxart/default.jpg,Unknown,Black Lab Games,,,,,,,7/15/2021,2024-01-20
Hunter: The Reckoning Redeemer,3D Beat-'Em-Up,Rated M For Mature,,,XB,72,26,/games/boxart/full_8861651AmericaFrontccc.jpg,VU Games,High Voltage Software,,0.17,0.13,,0.04,0.01,2003-10-28,
Trine 2: Complete Story,2D Platformer,Rated E +10 For Everyone +10,7.6,365.0,PS4,84,9,/games/boxart/full_1332259AmericaFrontccc.jpg,Frozenbyte,Frozenbyte,,,,,,,2013-11-15,2018-08-28
Empire Earth II: The Art of Supremacy,Real-Time Strategy,Rated T For Teen,6.5,8.0,PC,57,12,/games/boxart/full_1834913AmericaFrontccc.jpg,VU Games,Mad Doc Software,5.7,,,,,,2006-02-14,
WWE Survivor Series,Wrestling,Rated T For Teen,,,GBA,55,12,/games/boxart/8795948ccc.jpg,THQ,Natsume,,0.13,0.09,,0.04,0.0,2004-10-12,
NCAA Football 11,Football Sim,Rated E For Everyone,7.5,31.0,PS2,tbd,1,/games/boxart/full_ncaa-football-11_10AmericaFront.jpg,EA Sports,EA Tiburon,6.4,0.38,0.19,,0.15,0.05,2010-07-13,
NCAA Football 11,Football Sim,Rated E For Everyone,7.5,31.0,PS3,85,22,/games/boxart/full_ncaa-football-11_9AmericaFront.jpg,EA Sports,EA Tiburon,8.5,0.85,0.79,,,0.06,2010-07-13,
NCAA Football 11,Football Sim,Rated E For Everyone,7.5,31.0,X360,86,29,/games/boxart/full_ncaa-football-11_7AmericaFront.jpg,EA Sports,EA Tiburon,8.5,0.93,0.86,,,0.06,2010-07-13,
SoulCalibur Legends,Action Adventure,Rated T For Teen,4.8,18.0,Wii,52,35,/games/boxart/9739857ccc.gif,Namco Bandai,Project Soul,4.8,0.18,0.16,,0.01,0.01,2007-11-20,
Wing Island,Aircraft Sim,Rated E For Everyone,,,Wii,47,32,/games/boxart/1185970ccc.jpg,Hudson Soft,CAProduction,,0.05,0.03,0.01,0.01,0.0,2007-03-20,
NBA 2K Playgrounds 2,Basketball,Rated E For Everyone,5.3,43.0,NS,69,6,/games/boxart/full_5374460AmericaFrontccc.jpg,2K Games,Saber Interactive,,0.14,0.07,,0.05,0.01,2018-11-09,2018-09-11
NBA 2K Playgrounds 2,Basketball,Rated E For Everyone,5.3,43.0,XOne,62,12,/games/boxart/full_118857AmericaFrontccc.jpg,2K Games,Saber Interactive,,0.06,0.05,,,0.01,2018-10-16,2018-09-11
NBA 2K Playgrounds 2,Basketball,Rated E For Everyone,5.3,43.0,PS4,73,29,/games/boxart/full_8282013AmericaFrontccc.jpg,2K Games,Saber Interactive,,0.08,0.06,,,0.01,2018-10-16,2018-09-11
101-in-1 Sports Party Megamix,Sports,Rated E +10 For Everyone +10,,,Wii,41,7,/games/boxart/full_101-in-1-sports-party-megamix_620AmericaFront.jpg,Atlus,Nordcurrent,,0.03,0.02,,0.0,0.0,2011-01-11,
Super Mario Advance 4: Super Mario Bros. 3,2D Platformer,Rated E For Everyone,9.0,381.0,GBA,94,25,/games/boxart/3074364ccc.jpg,Nintendo,Nintendo EAD,9.2,,,,,,2003-10-21,
NBA 2K16,Basketball Sim,Rated E +10 For Everyone +10,6.7,472.0,PS4,87,51,/games/boxart/full_6414423AmericaFrontccc.jpg,2K Sports,Visual Concepts,8.7,3.98,2.56,0.05,0.66,0.71,2015-09-29,2018-03-28
NBA 2K16,Basketball Sim,Rated E +10 For Everyone +10,6.7,472.0,XOne,86,14,/games/boxart/full_4368420AmericaFrontccc.jpg,2K Sports,Visual Concepts,8.3,2.41,2.01,,0.15,0.25,2015-09-29,2018-03-28
NBA 2K16,Basketball Sim,Rated E +10 For Everyone +10,6.7,472.0,PC,tbd,3,/games/boxart/full_5011327AmericaFrontccc.jpg,2K Sports,Visual Concepts,,0.12,0.05,,0.07,0.01,2015-09-29,2018-03-28
The King of Fighters 02/03,Compilation,Rated T For Teen,7.8,9.0,PS2,73,28,/games/boxart/full_5653465AmericaFrontccc.jpg,SNK,SNK Corporation,,0.07,0.03,,0.03,0.01,2005-02-08,
The King of Fighters 02/03,Compilation,Rated T For Teen,7.8,9.0,XB,76,23,/games/boxart/7715405ccc.jpg,SNK Playmore,SNK Playmore Corporation,,0.03,0.02,,0.01,0.0,2005-03-15,
Puzzle Agent,Puzzle,,7.0,82.0,PC,70,24,/games/boxart/full_puzzle-agent_934AmericaFront.jpg,Telltale Games,Telltale Games,7.0,,,,,,2010-06-30,
Team Fortress 2,Tactical FPS,Rated M For Mature,8.6,4379.0,PC,92,17,/games/boxart/full_3426093AmericaFrontccc.jpg,Valve,Valve Corporation,9.2,0.0,,,0.0,0.0,2008-04-08,2019-03-26
Bet on Soldier: Blood Sport,FPS,Rated M For Mature,5.3,10.0,PC,56,23,/games/boxart/full_bet-on-soldier-blood-sport_753AmericaFront.jpg,Digital Jesters,Kylotonn Entertainment,,0.0,,,0.0,0.0,2005-09-26,
Nexagon: Deathmatch,Real-Time Strategy,Rated T For Teen,,,PC,61,13,/games/boxart/full_nexagon-deathmatch_1AmericaFront.jpg,Strategy First,Strategy First,,,,,,,2003-07-23,
Lair,Action Adventure,Rated T For Teen,6.1,64.0,PS3,53,55,/games/boxart/full_9360209AmericaFrontccc.jpg,Sony Computer Entertainment,Factor 5,5.5,0.51,0.36,0.08,0.04,0.04,2007-08-30,
Street Fighter EX3,2D Fighting,Rated T For Teen,5.8,16.0,PS2,64,17,/games/boxart/8679703ccc.jpg,Capcom,Arika,,0.85,0.32,0.2,0.25,0.08,2000-10-24,
NASCAR Kart Racing,Arcade Racing,Rated E For Everyone,,,Wii,70,12,/games/boxart/full_6160350AmericaFrontccc.jpg,EA Sports,Electronic Arts North Carolina,,0.42,0.39,,,0.03,2009-02-10,
