title,genres,product rating,user score,user ratings count,platform,metascore,metascore_count,img,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release date,last_update
Killer7,Action Adventure,Rated M For Mature,8.6,80.0,GC,74,57,/games/boxart/2191062ccc.jpg,Capcom,Grasshopper Manufacture,7.2,0.15,0.12,,0.03,0.0,2005-07-07,
Killer7,Action Adventure,Rated M For Mature,8.6,80.0,PS2,70,39,/games/boxart/full_2160404AmericaFrontccc.jpg,Capcom,Grasshopper Manufacture,6.5,0.09,0.04,0.0,0.03,0.01,2005-07-07,
Mazes of Fate,JRPG,Rated T For Teen,,,GBA,65,15,/games/boxart/full_mazes-of-fate_10AmericaFront.jpg,O3 Entertainment,Sabarasa Entertainment,6.6,,,,,,2006-12-06,
Yomawari: The Long Night Collection,Compilation,Rated M For Mature,7.2,10.0,NS,73,11,/games/boxart/full_6073791AmericaFrontccc.jpg,NIS America,Nippon Ichi Software,,0.05,0.04,0.01,,0.0,2018-10-30,2018-11-07
Savage Skies,Third Person Shooter,Rated M For Mature,,,PS2,56,17,/games/boxart/154104ccc.jpg,BAM! Entertainment,iRock Interactive,,0.09,0.04,,0.03,0.01,2002-03-31,
Die Hard: Nakatomi Plaza,FPS,Rated M For Mature,5.6,17.0,PC,54,19,/games/boxart/default.jpg,Sierra Entertainment,Unknown,,,,,,,2002-04-22,
Gran Turismo 6,Auto Racing Sim,Rated E For Everyone,7.9,1014.0,PS3,81,81,/games/boxart/full_959035AmericaFrontccc.jpg,Sony Computer Entertainment America,Polyphony Digital,8.6,,,,,,2013-12-06,2018-04-18
StarDrive 2,Real-Time Strategy,,5.4,105.0,PC,70,17,/games/boxart/default.jpg,Iceberg Interactive,Unknown,,,,,,,2014-10-01,
Yesterday,Point-and-Click,,6.9,81.0,PC,65,33,/games/boxart/default.jpg,Focus Home Interactive,Pendulo Studios,,,,,,,2012-03-22,2018-01-05
Kuon,Survival,Rated M For Mature,7.9,26.0,PS2,57,20,/games/boxart/2868082ccc.jpg,Agetec,From Software,,0.02,0.01,,0.01,0.0,2004-12-07,
Pode,Third-Person Adventure,Rated E For Everyone,7.5,24.0,NS,76,15,/games/boxart/full_9188314AmericaFrontccc.png,Henchman & Goon,Henchman & Goon,,,,,,,2018-05-01,2018-03-25
